Date,Lake,TAG.NUMBER,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Site.Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On Time (s),Water Temp (C),Secchi (cm),Weather,Year
4/7/2019,N Twin ,12944,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/7/2019,N Twin ,16590,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/7/2019,N Twin ,11953,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/7/2019,N Twin ,11458,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/7/2019,N Twin ,11491,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/7/2019,N Twin ,5616,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/7/2019,N Twin ,6782,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/7/2019,N Twin ,11463,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/7/2019,N Twin ,1801,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/7/2019,N Twin ,11485,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/7/2019,N Twin ,14256,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/7/2019,N Twin ,16244,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/7/2019,N Twin ,11135,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/7/2019,N Twin ,6368,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
